圧入管理差分データ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ファイル名：,PIN_****,,,*には保存順が入る,,,,,,,,,,,,,,,,,,,
ファイル形式：,バイナリデータ,,,,,,,,,,,,,,,,,,,,,,
ファイル拡張子：,bin,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
名称,BYTE,bit7,bit6,bit5,bit4,bit3,bit2,bit1,bit0,備考,,,,,,,,,,,,,
ケーシング上スピード設定,103,１BYTE,,,,,,,,設定値　ケーシングチャック上スピード段階,82,01,102,66,,,,,,,,,
ケーシング下スピード設定,104,１BYTE,,,,,,,,設定値　ケーシングチャック下スピード段階,83,01,103,67,,,,,,,,,
パイラー前後傾斜設定,105,符号(-),上位 7bit,,,,,,,設定値　パイラー前後傾斜　（単位：1/10度）,84,00,104,68,,,,,,,,,
,106,下位 8bit,,,,,,,,,85,63,105,69,,,,,,,,,
パイラー左右傾斜設定,107,符号(-),上位 7bit,,,,,,,設定値　パイラー左右傾斜　（単位：1/10度）,86,00,106,6A,4ce,,,,,,,,
,108,下位 8bit,,,,,,,,,87,63,107,6B,1230,,,,,,,,
チャック掴み力設定,109,１BYTE,,,,,,,,設定値　チャック掴み力段階,88,02,108,6C,1180,,,,,,,,
クランプ掴み力設定,110,１BYTE,,,,,,,,設定値　クランプ掴み力段階,89,02,109,6D,9.21875,,,,,,,,
水量,111,上位 8bit,,,,,,,,吐出水量　（単位：L/min）,90,00,110,6E,,,,,,,,,
,112,下位 8bit,,,,,,,,,91,00,111,6F,,,,,,,,,
水圧,113,上位 8bit,,,,,,,,吐出水圧　（単位：1/10 MPa）,92,00,112,70,,,,,,,,,
,114,下位 8bit,,,,,,,,,93,00,113,71,,,,,,,,,
手動モード,115,１BYTE,,,,,,,,手動モード番号,94,01,114,72,,,,,,,,,
圧入自動モード,116,１BYTE,,,,,,,,圧入自動モード番号,95,08,115,73,,,,,,,,,
引抜自動モード,117,１BYTE,,,,,,,,引抜自動モード番号,96,01,116,74,4CD1,26A4,,,,,,,
経過時間,118,上位 8bit,,,,,,,,経過時間　（単位：x100ms）,97,00,117,75,19665,9892,,,,,,,
,119,中位 8bit,,,,,,,,,98,00,118,76,,,,,,,,,
,120,下位 8bit,,,,,,,,,99,00,119,77,,,,,,,,,
貫入深度,121,符号(-),上位 7bit,,,,,,,貫入深度　（単位：mm）,100,00,120,78,,,,,,,,,
,122,中位 8bit,,,,,,,,,101,00,121,79,,,,,,,,,
,123,下位 8bit,,,,,,,,,102,00,122,7A,,,,,,,,,
管内土距離,124,上位 8bit,,,,,,,,管内土距離　（単位：mm）,103,00,123,7B,,,,,,,,,
,125,中位 8bit,,,,,,,,,104,00,124,7C,,,,,,,,,
,126,下位 8bit,,,,,,,,,105,00,125,7D,,,,,,,,,
杭変位1,127,上位 8bit,,,,,,,,載荷試験杭1変位量　（単位：mm）,106,00,126,7E,,,,,,,,,
,128,下位 8bit,,,,,,,,,107,00,127,7F,,,,,,,,,
杭変位2,129,上位 8bit,,,,,,,,載荷試験杭2変位量　（単位：mm）,108,00,128,,,,,,,,,,
,130,下位 8bit,,,,,,,,,109,00,129,,,,,,,,,,
杭変位3,131,上位 8bit,,,,,,,,載荷試験杭3変位量　（単位：mm）,110,00,130,,,,,,,,,,
,132,下位 8bit,,,,,,,,,111,00,131,,,,,,,,,,
燃料消費量,133,上位 8bit,,,,,,,,トータル燃料消費量　（単位：L）,112,00,132,,,,,,,,,,
,134,中上位 8bit,,,,,,,,,113,00,133,,,,,,,,,,
,135,中下位 8bit,,,,,,,,,114,00,134,,,,,,,,,,
,136,下位 8bit,,,,,,,,,115,00,135,,,,,,,,,,
圧入力下限設定,137,上位 8bit,,,,,,,,設定値　圧入力下限　（単位：kN）,116,00,136,,,,,,,,,,
,138,下位 8bit,,,,,,,,,117,0a,137,,,,,,,,,,
正転トルク下限設定,139,上位 8bit,,,,,,,,設定値　チャック正転トルク下限　（単位：kN･m）,118,00,138,,,,,,,,,,
,140,下位 8bit,,,,,,,,,119,1e,139,,,,,,,,,,
LS個別水量,141,１BYTE,,,,,,,,LS[A] 設定水量データ　（単位：L/min）,120,00,140,,,,,,,,,,
,142,１BYTE,,,,,,,,LS[B] 設定水量データ　（単位：L/min）,121,00,141,,,,,,,,,,
,143,１BYTE,,,,,,,,LS[C] 設定水量データ　（単位：L/min）,122,00,142,,,,,,,,,,
,144,１BYTE,,,,,,,,LS[D] 設定水量データ　（単位：L/min）,123,00,143,,,,,,,,,,
,145,１BYTE,,,,,,,,LS[E] 設定水量データ　（単位：L/min）,124,00,144,,,,,,,,,,
,146,１BYTE,,,,,,,,LS[F] 設定水量データ　（単位：L/min）,125,00,145,,,,,,,,,,
予備,147,0,0,0,0,0,0,0,0,予備,126,00,146,,,,,,,,,"150,578","150,548"
,148,0,0,0,0,0,0,0,0,,127,00,147,,,,,,,,,,1176.15625
"・
・
・",,,,,,,,,,,128,,148,,,,,,,,,,
,,,,,,,,,,,129,,149,,,,,,,,,,
